id,name,taxon_ids,sensor_type_ids,timestamp_first_deployed_location,timestamp_last_deployed_location,number_of_individuals,number_of_tags,number_of_deployed_locations,i_am_owner,is_test,i_have_download_access,contact_person_name,main_location
1206927877,Pigeon Adriatic Sea DMS,Columba livia,GPS,2020-07-21T00:00:01Z,2020-07-23T00:45:04Z,47,55,19910,TRUE,FALSE,TRUE,martin (Martin Wikelski),"c(main_location_long = 11.8023143834249, main_location_lat = 44.4497090299529)"
400637020,Mallards UniKurd MPIAB Iran,Anas platyrhynchos,GPS,2019-11-16T12:27:44Z,2021-11-08T03:12:45Z,12,10,267700,TRUE,FALSE,TRUE,myotis (Wolfgang Fiedler),"c(main_location_long = 46.129269, main_location_lat = 35.54976)"
1007425032,Hippocampus and route fidelity in homing pigeons (data from Gagliardo et al. 2020),Columba livia,GPS,2018-07-06T06:22:29Z,2018-07-31T13:38:23Z,24,24,1825482,FALSE,FALSE,TRUE,anna (Anna Gagliardo),"c(main_location_long = 10.304, main_location_lat = 43.657)"
1145621265,pigeon_homing_01,Columba livia,GPS,2020-05-13T19:13:30Z,2021-04-01T00:00:00Z,12,13,199160,TRUE,FALSE,TRUE,martin (Martin Wikelski),"c(main_location_long = 8.9978027343748, main_location_lat = 47.7690991588519)"
2411977220,Starling navigation SigFox MPIAB NIOO 2,Sturnus vulgaris,Sigfox Geolocation,2022-10-19T14:39:41Z,2023-11-11T10:18:44Z,82,81,57274,TRUE,FALSE,TRUE,martin (Martin Wikelski),"c(main_location_long = 6.35428054364022, main_location_lat = 53.3655033969936)"
525600727,ICARUS MPIO Blackbird Moeggingen Test,Turdus merula,"GPS,Accessory Measurements",2018-06-11T08:01:22Z,2018-10-12T00:00:00Z,50,51,151,TRUE,FALSE,TRUE,Andreas (Andreas Schmidt),"c(main_location_long = 8.99619993702116, main_location_lat = 47.7681591554682)"
7023813,MPIAB-UZH pigeon cloud experiment,Columba livia,GPS,2012-07-19T10:32:38Z,2012-10-21T12:02:36Z,22,20,498181,TRUE,FALSE,TRUE,martin (Martin Wikelski),"c(main_location_long = 8.99647504091263, main_location_lat = 47.768082388671)"
1115272968,Use of visual familiar cues in anosmic pigeons,Columba livia,GPS,2017-07-05T07:36:42Z,2017-07-25T08:33:16Z,27,27,2541223,FALSE,FALSE,TRUE,anna (Anna Gagliardo),"c(main_location_long = 10.3039, main_location_lat = 43.6572)"
1798970,pigeon PisaNavigation phase-shifted la costanza,Columba livia,GPS,2000-01-17T09:26:31Z,2026-10-12T06:53:12Z,22,22,221065,TRUE,FALSE,TRUE,anna (Anna Gagliardo),"c(main_location_long = 10.30282, main_location_lat = 43.6565)"
1849103,pigeon PisaNavigation control la costanza without phase shift,Columba livia,GPS,200-09-13T00:00:00Z,2007-09-14T06:46:13Z,11,11,191429,TRUE,FALSE,TRUE,anna (Anna Gagliardo),"c(main_location_long = 10.30271, main_location_lat = 43.65642)"
